fecha_reporte;inicio;fin;parque;ag;sistema;event_class;description;duracion
2025-12-11;2025-12-10 23:38:07;2025-12-11 00:01:05;PEM;1;Ambiental;0 - Falla previa finalizada;3272 - YawUntwistCW: Code 2, -556°;0
2025-12-11;2025-12-11 13:31:41;2025-12-11 17:44:02;PET;17;;1 - Falla delactual;General yaw problem;0
2025-12-11;2025-12-11 02:43:57;2025-12-11 02:45:38;PEVIL;4;Yaw;1 - Falla delactual;356 - Extreme yawerror 93,0m/s 505,0°;0
2025-12-11;2025-12-11 02:43:07;2025-12-11 02:44:23;PEVIL;5;Yaw;1 - Falla delactual;356 - Extreme yawerror 99,0m/s 461,0°;0
2025-12-11;2025-12-11 02:43:56;2025-12-11 02:45:07;PEVIL;6;Yaw;1 - Falla delactual;356 - Extreme yawerror 98,0m/s 470,0°;0
2025-12-11;2025-12-11 02:41:09;2025-12-11 02:42:30;PEVIL;7;Yaw;1 - Falla delactual;356 - Extreme yawerror 87,0m/s 559,0°;0
2025-12-11;2025-12-11 02:41:09;2025-12-11 02:42:10;PEVIL;8;Yaw;1 - Falla delactual;356 - Extreme yawerror 100,0m/s 450,0°;0
2025-12-11;2025-12-11 02:43:07;2025-12-11 02:44:33;PEVIL;9;Yaw;1 - Falla delactual;356 - Extreme yawerror 106,0m/s 448,0°;0
2025-12-11;2025-12-11 02:41:54;2025-12-11 02:43:20;PEVIL;10;Yaw;1 - Falla delactual;356 - Extreme yawerror 87,0m/s 555,0°;0
2025-12-11;2025-12-11 02:42:20;2025-12-11 02:43:56;PEVIL;11;Yaw;1 - Falla delactual;356 - Extreme yawerror 89,0m/s 542,0°;0
2025-12-11;2025-12-11 02:45:03;2025-12-11 02:46:34;PEVIL;15;Yaw;1 - Falla delactual;356 - Extreme yawerror 97,0m/s 477,0°;0
2025-12-11;2025-12-11 20:03:17;2025-12-11 20:04:37;PEM;4;Yaw;1 - Falla delactual;356 - Extreme yawerror 92,0m/s 516,0°;0
2025-12-11;2023-03-13 00:52:15;;PECHN;28;;3 - Falla previa no finalizada;5224 - SIS Pit 3 Accu Contactor Fai-lure;
2025-12-11;2023-03-13 00:52:15;;PECHN;32;Sistema de Control;3 - Falla previa no finalizada;5091 - SIS Pit 1 Blade Encoder Passivated;
2025-12-11;2023-03-14 11:46:29;;PEPOM;27;Convertidor;3 - Falla previa no finalizada;1208 - MCV Class B Fault;
2025-12-11;2024-05-11 18:43:35;;PER;1;;3 - Falla previa no finalizada;Operation state: Emergency Stop;
2025-12-11;2024-05-12 07:17:56;;PER;6;Sistema de Seguridad;3 - Falla previa no finalizada;Pending operating state: Emergency;
2025-12-11;2024-05-12 07:43:18;;PER;29;Yaw;3 - Falla previa no finalizada;3272 - YawUntwistCW: Code 4, -551°;
2025-12-11;2024-05-12 07:44:19;;PER;41;Yaw;3 - Falla previa no finalizada;3272 - YawUntwistCW: Code 4, -650°;
2025-12-11;2024-05-12 07:32:51;;PER;42;Yaw;3 - Falla previa no finalizada;3272 - YawUntwistCW: Code 4, -562°;
2025-12-11;2025-12-08 11:09:47;;PER;44;Yaw;3 - Falla previa no finalizada;3272 - YawUntwistCW: Code 2, -750°;
2025-12-11;2025-12-10 09:51:29;;PET;2;Sistema de Control;3 - Falla previa no finalizada;Control cabinet non critical 1 protection;
2025-12-11;2025-05-29 14:41:13;;PET;7;PITCH;3 - Falla previa no finalizada;Pitch general error;
2025-12-11;2025-04-30 10:28:09;;PET;10;TRANSFORMADOR;3 - Falla previa no finalizada;Underline Volt;
2025-12-11;2025-12-11 14:04:26;2025-12-11 14:05:32;PEM;7;Yaw;1 - Falla delactual;356 - Extreme yawerror 97,0m/s 472,0°;0
2025-12-11;2025-12-11 12:51:40;2025-12-11 12:53:21;PEM;14;Yaw;1 - Falla delactual;356 - Extreme yawerror 50,0m/s 854,0°;0
2025-12-11;2025-12-10 16:43:52;2025-12-11 19:28:22;PENEC;6;Convertidor;0 - Falla previa finalizada;3450 - HighVoltageRoom SPDFuseL1Blown;0
2025-12-11;2025-12-11 14:01:26;2025-12-11 15:16:46;PEM;14;Sistema de Seguridad;1 - Falla delactual;3805 - HubSafetySystem DC Supply Err,;0
2025-12-11;2025-12-11 14:24:05;2025-12-11 14:25:15;PEM;31;Yaw;1 - Falla delactual;356 - Extreme yawerror 96,0m/s 481,0°;0
2025-12-11;2025-12-11 17:00:34;2025-12-11 17:01:54;PEM;39;Yaw;1 - Falla delactual;356 - Extreme yawerror 155,0m/s 432,0°;0
2025-12-11;2025-12-11 15:29:53;2025-12-11 15:31:14;PEM;49;Yaw;1 - Falla delactual;356 - Extreme yawerror 139,0m/s 438,0°;0
2025-12-11;2025-12-11 03:41:46;2025-12-11 12:22:06;PEM;52;Sistema de Seguridad;1 - Falla delactual;3805 - HubSafetySystem DC Supply Err,;0
2025-12-11;2025-12-11 20:00:35;2025-12-11 20:01:35;PEM;52;Yaw;1 - Falla delactual;356 - Extreme yawerror 83,0m/s 590,0°;0
2025-12-11;2025-12-10 21:55:19;2025-12-11 08:13:33;PER;55;Sistema de Control;0 - Falla previa finalizada;693 - SignalError-PAUSE 1830, 1;0
2025-12-11;2025-12-11 19:58:29;2025-12-11 20:03:06;PEM;53;Yaw;1 - Falla delactual;356 - Extreme yawerror 83,0m/s 585,0°;0
2025-12-11;2025-12-11 18:59:40;2025-12-11 19:31:46;PENEC;1;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -990°;0
2025-12-11;2025-12-11 02:12:22;2025-12-11 02:33:45;PENEC;2;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -658°;0
2025-12-11;2025-12-11 19:01:42;2025-12-11 19:31:41;PENEC;2;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 0, 0°;0
2025-12-11;2025-12-11 02:10:26;2025-12-11 02:32:06;PENEC;3;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -650°;0
