inicio;fin;parque;ag;sistema;event_class;description;duracion;factor_de_parada
2025-12-11 00:10:01;2025-12-11 00:28:21;PECHN;3;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -594°;00:18:20;FPF
2025-12-11 00:13:03;2025-12-11 00:35:56;PECHN;4;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -576°;00:22:53;FPF
2025-12-11 00:56:58;2025-12-11 00:58:15;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:17;FPF
2025-12-11 01:23:09;2025-12-11 01:48:04;PENEC;10;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -790°;00:24:55;FPF
2025-12-11 01:31:59;2025-12-11 01:55:24;PENEC;7;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -597°;00:23:25;FPF
2025-12-11 01:45:56;2025-12-11 01:47:24;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:28;FPF
2025-12-11 01:52:28;2025-12-11 01:52:38;PER;26;Generador;1 - Falla delactual;6286 - Brake test active;00:00:10;FPF
2025-12-11 01:52:33;2025-12-11 01:52:43;PER;27;Generador;1 - Falla delactual;6286 - Brake test active;00:00:10;FPF
2025-12-11 02:10:26;2025-12-11 02:32:06;PENEC;3;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -650°;00:21:40;FPF
2025-12-11 02:12:22;2025-12-11 02:33:45;PENEC;2;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -658°;00:21:23;FPF
2025-12-11 02:22:51;2025-12-11 02:44:08;PENEC;11;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;00:21:17;FPF
2025-12-11 02:41:09;2025-12-11 02:42:30;PEVIL;8;Yaw;1 - Falla delactual;356 - Extreme yawerror 87,0m/s 559,0°;00:01:21;FPF
2025-12-11 02:41:54;2025-12-11 02:43:20;PEVIL;10;Yaw;1 - Falla delactual;356 - Extreme yawerror 87,0m/s 555,0°;00:01:26;FPF
2025-12-11 02:42:20;2025-12-11 02:43:56;PEVIL;11;Yaw;1 - Falla delactual;356 - Extreme yawerror 89,0m/s 542,0°;00:01:36;FPF
2025-12-11 02:43:07;2025-12-11 02:44:33;PEVIL;9;Yaw;1 - Falla delactual;356 - Extreme yawerror 99,0m/s 461,0°;00:01:26;FPF
2025-12-11 02:43:56;2025-12-11 02:45:07;PEVIL;6;Yaw;1 - Falla delactual;356 - Extreme yawerror 98,0m/s 470,0°;00:01:11;FPF
2025-12-11 02:43:57;2025-12-11 02:45:38;PEVIL;4;Yaw;1 - Falla delactual;356 - Extreme yawerror 93,0m/s 505,0°;00:01:41;FPF
2025-12-11 02:45:03;2025-12-11 02:46:34;PEVIL;15;Yaw;1 - Falla delactual;356 - Extreme yawerror 97,0m/s 477,0°;00:01:31;FPF
2025-12-11 03:03:46;2025-12-11 03:24:22;PENEC;5;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -605°;00:20:36;FPF
2025-12-11 03:41:46;2025-12-11 12:22:06;PEM;52;Sistema de Seguridad;1 - Falla delactual;3805 - HubSafetySystem DC Supply Err,;08:40:20;FPF
2025-12-11 03:49:03;2025-12-11 04:05:43;PENEC;4;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;00:16:40;FPF
2025-12-11 04:07:35;2025-12-11 04:24:16;PENEC;8;Ambiental;1 - Falla delactual;3272 - YawUntwistCW: Code 2, -540°;00:16:41;FPF
2025-12-11 04:17:25;2025-12-11 15:55:19;PET;9;;1 - Falla delactual;Twist counter clockwise;11:37:54;FPF
2025-12-11 04:54:03;2025-12-11 04:55:20;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:17;FPF
2025-12-11 05:34:30;2025-12-11 05:35:37;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:07;FPF
2025-12-11 06:44:43;2025-12-11 06:46:00;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:17;FPF
2025-12-11 07:27:40;2025-12-11 07:28:54;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:14;FPF
2025-12-11 08:02:31;2025-12-11 08:03:53;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:22;FPF
2025-12-11 09:19:24;2025-12-11 09:20:39;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:15;FPF
2025-12-11 10:02:35;2025-12-11 17:57:45;PET;15;;1 - Falla delactual;Yaw Error;07:55:10;FPF
2025-12-11 10:16:59;2025-12-11 18:42:56;PET;8;;1 - Falla delactual;General yaw problem;08:25:57;FPF
2025-12-11 10:28:44;2025-12-11 10:30:15;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:31;FPF
2025-12-11 11:16:58;2025-12-11 11:18:32;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:01:34;FPF
2025-12-11 11:51:43;2025-12-11 12:12:15;PER;46;Sistema de Control;1 - Falla delactual;176 - Error on all wind sensors;00:20:32;FPF
2025-12-11 12:15:20;2025-12-11 18:47:12;PET;5;;1 - Falla delactual;General yaw problem;06:31:52;FPF
